"RGN09CD","Year","Sex","Age_Group","Deprivation_Quintile","Ethnic_Group","population_estimates"
"E12000001",2014,"Females","65-74","2","Other",12.694596315187
"E12000001",2014,"Females","65-74","3","Other",13.647234363215
"E12000001",2014,"Females","65-74","4","Other",12.76397879379
"E12000001",2014,"Females","65-74","5","Other",15.3296695399755
"E12000001",2014,"Females","65-74","1","White",38574.0112706813
"E12000001",2014,"Females","65-74","2","White",30015.1389004091
"E12000001",2014,"Females","65-74","3","White",22253.7251213906
"E12000001",2014,"Females","65-74","4","White",23642.1515430249
"E12000001",2014,"Females","65-74","5","White",22703.0000352897
"E12000001",2014,"Females","75-84","1","Asian",170.041168346051
"E12000001",2014,"Females","75-84","2","Asian",98.4041143654944
"E12000001",2014,"Females","75-84","3","Asian",65.8544747893185
"E12000001",2014,"Females","75-84","4","Asian",77.6001317107925
"E12000001",2014,"Females","75-84","5","Asian",96.0230967771199
"E12000001",2014,"Females","75-84","1","Black",13.6872174104267
"E12000001",2014,"Females","75-84","2","Black",6.30340378898834
"E12000001",2014,"Females","75-84","3","Black",3.98909408975898
"E12000001",2014,"Females","75-84","4","Black",3.71944478373308
"E12000001",2014,"Females","75-84","5","Black",5.75548824569233
"E12000001",2014,"Females","75-84","1","Mixed",58.9539791423879
"E12000001",2014,"Females","75-84","2","Mixed",37.6005352179729
"E12000001",2014,"Females","75-84","3","Mixed",19.9248418777248
"E12000001",2014,"Females","75-84","4","Mixed",21.0038760368358
"E12000001",2014,"Females","75-84","5","Mixed",21.0303870509913
"E12000001",2014,"Females","75-84","1","Other",12.3100525622755
"E12000001",2014,"Females","75-84","2","Other",5.0127442881083
"E12000001",2014,"Females","75-84","3","Other",5.02281355133167
"E12000001",2014,"Females","75-84","4","Other",4.54137046908025
"E12000001",2014,"Females","75-84","5","Other",5.39968430185478
"E12000001",2014,"Females","75-84","1","White",27593.0075825389
"E12000001",2014,"Females","75-84","2","White",20661.6792023394
"E12000001",2014,"Females","75-84","3","White",14278.2087756919
"E12000001",2014,"Females","75-84","4","White",14664.1351769996
"E12000001",2014,"Females","75-84","5","White",13940.7913436243
"E12000001",2014,"Females","85+","1","Asian",36.3634902265903
"E12000001",2014,"Females","85+","2","Asian",20.7603753325703
"E12000001",2014,"Females","85+","3","Asian",13.5805176694224
"E12000001",2014,"Females","85+","4","Asian",15.1928998804641
"E12000001",2014,"Females","85+","5","Asian",18.7436534670559
"E12000001",2014,"Females","85+","1","Black",3.34048832304463
"E12000001",2014,"Females","85+","2","Black",1.5176806047875
"E12000001",2014,"Females","85+","3","Black",0.93883360436854
"E12000001",2014,"Females","85+","4","Black",0.831073903191283
"E12000001",2014,"Females","85+","5","Black",1.28216530686362
"E12000001",2014,"Females","85+","1","Mixed",23.1093129069003
"E12000001",2014,"Females","85+","2","Mixed",14.5404685004816
"E12000001",2014,"Females","85+","3","Mixed",7.53161908305103
"E12000001",2014,"Females","85+","4","Mixed",7.53772160039889
"E12000001",2014,"Females","85+","5","Mixed",7.52468342529151
"E12000001",2014,"Females","85+","1","Other",6.27684964290001
"E12000001",2014,"Females","85+","2","Other",2.52155144127076
"E12000001",2014,"Females","85+","3","Other",2.46972404218228
"E12000001",2014,"Females","85+","4","Other",2.11999817386925
"E12000001",2014,"Females","85+","5","Other",2.51314325600261
"E12000001",2014,"Females","85+","1","White",12385.9098589006
"E12000001",2014,"Females","85+","2","White",9149.65992412089
"E12000001",2014,"Females","85+","3","White",6180.47930560098
"E12000001",2014,"Females","85+","4","White",6026.31830644208
"E12000001",2014,"Females","85+","5","White",5711.93635454478
"E12000001",2014,"Males","0-24","1","Asian",7804.53630187853
"E12000001",2014,"Males","0-24","2","Asian",4424.65539904009
"E12000001",2014,"Males","0-24","3","Asian",2488.76882522627
"E12000001",2014,"Males","0-24","4","Asian",2016.2107532255
"E12000001",2014,"Males","0-24","5","Asian",1680.70529232334
"E12000001",2014,"Males","0-24","1","Black",1834.786880135
"E12000001",2014,"Males","0-24","2","Black",560.551864612386
"E12000001",2014,"Males","0-24","3","Black",264.19557511502
"E12000001",2014,"Males","0-24","4","Black",235.217128369181
"E12000001",2014,"Males","0-24","5","Black",159.976552250856
"E12000001",2014,"Males","0-24","1","Mixed",3163.50231102394
